method,n_sim,time,epsilon,kl_sigma2,kl_joint,K,K_outliers,include_osum,seed
ABC-SMC,222455.69620253163,79.31864533243301,7.501774800923316,23.4460677255669,20.828301062848293,20,0,False,43
ABC-SMC,225761.00628930816,80.63591613709552,7.485309588219064,23.44970436952925,20.87327200557541,20,0,False,43
ABC-SMC,224582.82208588955,80.64264761158292,7.440367770438061,23.432186891660763,20.9166990278704,20,0,False,43
ABC-SMC,227335.36585365853,82.00749856669727,7.402755502809524,23.42399206875061,20.95953379873287,20,0,False,43
ABC-SMC,229854.5454545454,83.49016413544162,7.348674675277185,23.39551408890216,21.001612150603485,20,0,False,43
ABC-SMC,230754.49101796403,84.37110021442709,7.311147094035802,23.417737135395694,21.0454655898772,20,0,False,43
ABC-SMC,234257.4850299401,86.0617864631607,7.2582998003314065,23.458317035716306,21.079958145586883,20,0,False,43
ABC-SMC,236196.42857142852,87.38643796671003,7.216958208598201,23.46341859180116,21.11562199823644,20,0,False,43
ABC-SMC,239380.95238095234,89.08380610602241,7.18674368452188,23.457777743093043,21.152532112921822,20,0,False,43
ABC-SMC,242446.42857142852,89.11366562048593,7.161710997877986,23.456876275455464,21.18301167736339,20,0,False,43
ABC-SMC,474215.9090909092,170.18664357337087,7.111918956189999,23.451890038019336,20.695634815830484,20,0,False,43
ABC-SMC,485011.3636363637,173.390314524824,7.098014142012806,23.466909400737762,20.745473845948773,20,0,False,43
ABC-SMC,473826.0869565218,165.9902893978617,7.082390565510012,23.459939065161258,20.786147789342643,20,0,False,43
ABC-SMC,468042.1052631579,163.9651086455897,7.0351312224767995,23.427554770588596,20.82854474119855,20,0,False,43
ABC-SMC,476905.2631578948,167.3370377640975,7.024437304532869,23.463438583290838,20.862425162118612,20,0,False,43
ABC-SMC,475422.6804123711,166.9477169046697,7.003494406577291,24.039907582128595,20.899874496513988,20,0,False,43
ABC-SMC,473676.76767676766,163.62293127811316,6.99257782390978,24.050828686722138,20.938779140444336,20,0,False,43
ABC-SMC,471653.4653465346,163.39374166904108,6.99042141219899,24.057794927930757,20.983136617488142,20,0,False,43
ABC-SMC,474058.82352941175,164.70112309736365,6.985329030630522,24.084936463827614,21.01740828632485,20,0,False,43
ABC-SMC,476097.0873786408,166.0045528874814,6.9595969926445385,24.09383159470933,21.062666968604347,20,0,False,43
ABC-SMC,477759.6153846154,167.27762061815994,6.940996605765472,24.130537972319118,21.113013636333974,20,0,False,43
ABC-SMC,474566.0377358491,166.94288197553382,6.913272689687911,24.13047999079989,21.161369237702367,20,0,False,43
ABC-SMC,480141.50943396223,170.20097149992887,6.890188226602594,24.185736111453842,21.202452101710378,20,0,False,43
ABC-SMC,481000.0,168.7328380959056,6.8873678845598425,24.195495049919792,21.233576143576858,20,0,False,43
ABC-SMC,486196.261682243,171.4900945948663,6.8696650425590535,24.23215847983449,21.260556740534206,20,0,False,43
ABC-SMC,482146.7889908257,171.71281346487345,6.859674083542466,24.22638260429533,21.304223273376003,20,0,False,43
ABC-SMC,486798.16513761465,174.82872763904956,6.841099114966172,24.222602442935496,21.348011056881887,20,0,False,43
ABC-SMC,871951.6129032258,307.4383920238864,6.798995377801523,23.85442494527819,20.6786303130888,20,0,False,43
ABC-SMC,859750.0,303.1455524265766,6.781224395156622,23.857378718412157,20.714617212066436,20,0,False,43
ABC-SMC,847954.5454545455,299.0596083077518,6.75767761565174,23.867016698215718,20.736643838343575,20,0,False,43
ABC-SMC,812414.2857142856,289.1719906670706,6.757539547162821,23.862124231163023,20.774816176047864,20,0,False,43
ABC-SMC,802055.5555555555,291.1204617884424,6.750998152988655,23.8621024482644,20.801456327620368,20,0,False,43
ABC-SMC,770842.1052631579,282.8034404077028,6.737345337916587,23.879335495167695,20.849000727894545,20,0,False,43
ABC-SMC,751683.5443037974,285.9115457232994,6.6882368254777145,23.888049353679428,20.891795935046364,20,0,False,43
ABC-SMC,751775.0,290.4705263674259,6.663868657696069,23.88087045371251,20.9402110067047,20,0,False,43
ABC-SMC,742280.4878048779,291.56403716017553,6.662098226551345,23.87293681069633,20.983283221270266,20,0,False,43
ABC-SMC,741662.6506024095,300.38755787424293,6.6401222110553375,23.863688397217437,21.02828574388647,20,0,False,43
ABC-SMC,749566.2650602409,308.5628167692437,6.626158238249687,23.859132895761782,21.076818369884435,20,0,False,43
ABC-SMC,748071.4285714284,314.7471308708191,6.598530892643945,23.83830235121642,21.12333945932577,20,0,False,43
ABC-SMC,737569.7674418605,316.49473420409277,6.589447403506716,23.823246001755233,21.17055601902591,20,0,False,43
ABC-SMC,744255.8139534885,323.3698598174162,6.553697957796088,23.833005620623965,21.19902407711796,20,0,False,43
ABC-SMC,750616.2790697676,326.96543183437615,6.524578086289,23.868129113319206,21.24497172144512,20,0,False,43
ABC-SMC,756720.9302325582,330.5626772170844,6.469749418731508,23.866034386635715,21.282602807893852,20,0,False,43
ABC-SMC,745261.3636363638,326.7779118635438,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,734311.1111111112,319.5565048853557,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,723836.9565217393,312.64793846918195,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,721483.870967742,309.4131963227385,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,711610.5263157894,302.9400126557601,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,716926.3157894737,302.97715689006606,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
