method,n_sim,time,epsilon,K,K_outliers,include_osum,seed
ABC-SMC,571481.7275747508,31.370801783083284,9.062128536773425,20,4,True,0
ABC-SMC,567789.4736842106,31.069605091684743,9.062128536773425,20,4,True,0
ABC-SMC,567868.8524590164,30.97607425001801,9.062128536773425,20,4,True,0
ABC-SMC,569809.8360655737,30.98437457788186,9.062128536773425,20,4,True,0
ABC-SMC,564349.5145631068,30.591598722155428,9.062128536773425,20,4,True,0
ABC-SMC,566265.3721682848,30.599686281580755,9.062128536773425,20,4,True,0
ABC-SMC,566348.3870967742,30.509159218880438,9.062128536773425,20,4,True,0
ABC-SMC,568258.064516129,30.517374700115575,9.062128536773425,20,4,True,0
ABC-SMC,568334.4051446945,30.427409981608008,9.062128536773425,20,4,True,0
ABC-SMC,568410.2564102565,30.338059938870945,9.062128536773425,20,4,True,0
ABC-SMC,570307.6923076923,30.34618607698343,9.062128536773425,20,4,True,0
ABC-SMC,572205.1282051281,30.354179785801815,9.062128536773425,20,4,True,0
ABC-SMC,572268.3706070287,30.265314015336692,9.062128536773425,20,4,True,0
ABC-SMC,574159.7444089457,30.273358090617023,9.062128536773425,20,4,True,0
